Relatório de campanhas
leofelipesc@gmail.com
1 de jun. de 2026 - 28 de ago. de 2026

Dia,Campanha,Impr.,Cliques,CTR,CPC méd.,Custo,Conversões,Custo / conv.,Taxa de conv.
14/07/2026,Black Friday - Roupas,5.633,118,"2,09%","R$ 2,70","R$ 318,78",5,"R$ 63,76","4,24%"
14/07/2026,Institucional - Marca,13.502,192,"1,42%","R$ 1,71","R$ 328,39",1,"R$ 328,39","0,52%"
14/07/2026,Remarketing - Carrinho Abandonado,1.205,57,"4,73%","R$ 1,56","R$ 88,98",0,-,"0,00%"
14/07/2026,Lançamento - Coleção Verão,8.045,124,"1,54%","R$ 1,63","R$ 202,10",4,"R$ 50,52","3,23%"
14/07/2026,Promoção - Frete Grátis,9.744,297,"3,05%","R$ 3,16","R$ 939,84",15,"R$ 62,66","5,05%"
15/07/2026,Black Friday - Roupas,634,23,"3,63%","R$ 1,26","R$ 29,02",1,"R$ 29,02","4,35%"
15/07/2026,Institucional - Marca,639,8,"1,25%","R$ 0,90","R$ 7,19",0,-,"0,00%"
15/07/2026,Remarketing - Carrinho Abandonado,14.218,429,"3,02%","R$ 2,03","R$ 871,23",2,"R$ 435,62","0,47%"
15/07/2026,Lançamento - Coleção Verão,1.272,34,"2,67%","R$ 2,75","R$ 93,51",0,-,"0,00%"
15/07/2026,Promoção - Frete Grátis,3.446,71,"2,06%","R$ 2,85","R$ 202,69",3,"R$ 67,56","4,23%"
16/07/2026,Black Friday - Roupas,11.567,335,"2,90%","R$ 0,88","R$ 294,26",21,"R$ 14,01","6,27%"
16/07/2026,Institucional - Marca,7.980,101,"1,27%","R$ 1,07","R$ 108,56",0,-,"0,00%"
16/07/2026,Remarketing - Carrinho Abandonado,5.839,267,"4,57%","R$ 2,01","R$ 536,88",1,"R$ 536,88","0,37%"
16/07/2026,Lançamento - Coleção Verão,1.288,19,"1,48%","R$ 1,70","R$ 32,39",0,-,"0,00%"
16/07/2026,Promoção - Frete Grátis,1.439,32,"2,22%","R$ 2,94","R$ 94,17",1,"R$ 94,17","3,12%"
17/07/2026,Black Friday - Roupas,1.283,44,"3,43%","R$ 1,31","R$ 57,43",2,"R$ 28,71","4,55%"
17/07/2026,Institucional - Marca,2.052,30,"1,46%","R$ 2,16","R$ 64,72",0,-,"0,00%"
17/07/2026,Remarketing - Carrinho Abandonado,1.679,65,"3,87%","R$ 2,61","R$ 169,94",0,-,"0,00%"
17/07/2026,Lançamento - Coleção Verão,7.705,122,"1,58%","R$ 1,95","R$ 237,79",5,"R$ 47,56","4,10%"
17/07/2026,Promoção - Frete Grátis,10.090,214,"2,12%","R$ 2,41","R$ 514,69",7,"R$ 73,53","3,27%"
18/07/2026,Black Friday - Roupas,9.721,326,"3,35%","R$ 2,57","R$ 836,50",17,"R$ 49,21","5,21%"
18/07/2026,Institucional - Marca,6.217,48,"0,77%","R$ 2,86","R$ 137,08",0,-,"0,00%"
18/07/2026,Remarketing - Carrinho Abandonado,7.926,301,"3,80%","R$ 2,47","R$ 743,31",1,"R$ 743,31","0,33%"
18/07/2026,Lançamento - Coleção Verão,2.388,47,"1,97%","R$ 2,99","R$ 140,61",1,"R$ 140,61","2,13%"
18/07/2026,Promoção - Frete Grátis,4.153,119,"2,87%","R$ 1,14","R$ 135,72",6,"R$ 22,62","5,04%"
19/07/2026,Black Friday - Roupas,13.528,327,"2,42%","R$ 3,12","R$ 1.019,49",19,"R$ 53,66","5,81%"
19/07/2026,Institucional - Marca,1.818,15,"0,83%","R$ 2,45","R$ 36,70",0,-,"0,00%"
19/07/2026,Remarketing - Carrinho Abandonado,2.270,128,"5,64%","R$ 1,90","R$ 243,69",0,-,"0,00%"
19/07/2026,Lançamento - Coleção Verão,7.760,216,"2,78%","R$ 1,02","R$ 219,24",6,"R$ 36,54","2,78%"
19/07/2026,Promoção - Frete Grátis,13.559,454,"3,35%","R$ 1,52","R$ 691,50",21,"R$ 32,93","4,63%"
20/07/2026,Black Friday - Roupas,2.141,50,"2,34%","R$ 1,52","R$ 76,08",2,"R$ 38,04","4,00%"
20/07/2026,Institucional - Marca,9.241,81,"0,88%","R$ 3,20","R$ 258,94",0,-,"0,00%"
20/07/2026,Remarketing - Carrinho Abandonado,8.937,273,"3,05%","R$ 1,10","R$ 300,79",1,"R$ 300,79","0,37%"
20/07/2026,Lançamento - Coleção Verão,3.499,99,"2,83%","R$ 2,25","R$ 222,27",3,"R$ 74,09","3,03%"
20/07/2026,Promoção - Frete Grátis,6.184,192,"3,10%","R$ 0,95","R$ 182,67",11,"R$ 16,61","5,73%"
21/07/2026,Black Friday - Roupas,10.981,300,"2,73%","R$ 1,03","R$ 307,68",15,"R$ 20,51","5,00%"
21/07/2026,Institucional - Marca,9.117,119,"1,31%","R$ 1,29","R$ 153,85",0,-,"0,00%"
21/07/2026,Remarketing - Carrinho Abandonado,13.734,778,"5,66%","R$ 2,56","R$ 1.987,79",3,"R$ 662,60","0,39%"
21/07/2026,Lançamento - Coleção Verão,4.499,118,"2,62%","R$ 1,66","R$ 196,44",4,"R$ 49,11","3,39%"
21/07/2026,Promoção - Frete Grátis,702,14,"1,99%","R$ 1,82","R$ 25,46",0,-,"0,00%"
22/07/2026,Black Friday - Roupas,14.355,326,"2,27%","R$ 1,91","R$ 621,63",21,"R$ 29,60","6,44%"
22/07/2026,Institucional - Marca,13.563,123,"0,91%","R$ 1,54","R$ 189,19",1,"R$ 189,19","0,81%"
22/07/2026,Remarketing - Carrinho Abandonado,7.938,367,"4,62%","R$ 2,67","R$ 980,72",2,"R$ 490,36","0,54%"
22/07/2026,Lançamento - Coleção Verão,6.408,112,"1,75%","R$ 1,44","R$ 161,28",3,"R$ 53,76","2,68%"
22/07/2026,Promoção - Frete Grátis,7.115,203,"2,85%","R$ 2,48","R$ 503,70",9,"R$ 55,97","4,43%"
23/07/2026,Black Friday - Roupas,7.862,192,"2,44%","R$ 3,47","R$ 665,55",11,"R$ 60,50","5,73%"
23/07/2026,Institucional - Marca,10.839,122,"1,13%","R$ 2,47","R$ 301,82",1,"R$ 301,82","0,82%"
23/07/2026,Remarketing - Carrinho Abandonado,10.486,467,"4,45%","R$ 2,00","R$ 933,06",3,"R$ 311,02","0,64%"
23/07/2026,Lançamento - Coleção Verão,7.342,134,"1,83%","R$ 2,30","R$ 307,88",4,"R$ 76,97","2,99%"
23/07/2026,Promoção - Frete Grátis,10.247,336,"3,28%","R$ 1,43","R$ 480,47",14,"R$ 34,32","4,17%"
24/07/2026,Black Friday - Roupas,11.190,316,"2,82%","R$ 1,16","R$ 366,58",16,"R$ 22,91","5,06%"
24/07/2026,Institucional - Marca,4.956,43,"0,87%","R$ 1,18","R$ 50,90",0,-,"0,00%"
24/07/2026,Remarketing - Carrinho Abandonado,14.870,813,"5,47%","R$ 1,39","R$ 1.127,51",5,"R$ 225,50","0,62%"
24/07/2026,Lançamento - Coleção Verão,11.918,318,"2,67%","R$ 2,59","R$ 822,53",10,"R$ 82,25","3,14%"
24/07/2026,Promoção - Frete Grátis,3.800,102,"2,68%","R$ 1,71","R$ 174,21",5,"R$ 34,84","4,90%"
25/07/2026,Black Friday - Roupas,9.396,210,"2,23%","R$ 2,62","R$ 550,42",9,"R$ 61,16","4,29%"
25/07/2026,Institucional - Marca,9.278,86,"0,93%","R$ 1,15","R$ 98,63",0,-,"0,00%"
25/07/2026,Remarketing - Carrinho Abandonado,13.316,794,"5,96%","R$ 1,47","R$ 1.166,81",85,"R$ 13,73","10,71%"
25/07/2026,Lançamento - Coleção Verão,5.326,127,"2,38%","R$ 3,12","R$ 396,00",3,"R$ 132,00","2,36%"
25/07/2026,Promoção - Frete Grátis,2.828,60,"2,12%","R$ 2,34","R$ 140,70",3,"R$ 46,90","5,00%"
26/07/2026,Black Friday - Roupas,13.655,493,"3,61%","R$ 0,82","R$ 404,93",26,"R$ 15,57","5,27%"
26/07/2026,Institucional - Marca,7.797,64,"0,82%","R$ 3,46","R$ 221,63",0,-,"0,00%"
26/07/2026,Remarketing - Carrinho Abandonado,12.891,594,"4,61%","R$ 3,35","R$ 1.988,65",55,"R$ 36,16","9,26%"
26/07/2026,Lançamento - Coleção Verão,7.017,171,"2,44%","R$ 2,22","R$ 379,96",6,"R$ 63,33","3,51%"
26/07/2026,Promoção - Frete Grátis,8.812,192,"2,18%","R$ 1,41","R$ 270,85",7,"R$ 38,69","3,65%"
27/07/2026,Black Friday - Roupas,12.202,364,"2,98%","R$ 2,01","R$ 733,35",23,"R$ 31,88","6,32%"
27/07/2026,Institucional - Marca,4.741,42,"0,89%","R$ 0,93","R$ 39,14",0,-,"0,00%"
27/07/2026,Remarketing - Carrinho Abandonado,10.606,419,"3,95%","R$ 0,98","R$ 409,63",47,"R$ 8,72","11,22%"
27/07/2026,Lançamento - Coleção Verão,11.214,280,"2,50%","R$ 3,07","R$ 859,03",11,"R$ 78,09","3,93%"
27/07/2026,Promoção - Frete Grátis,5.394,170,"3,15%","R$ 2,78","R$ 471,94",9,"R$ 52,44","5,29%"
28/07/2026,Black Friday - Roupas,5.355,176,"3,29%","R$ 0,87","R$ 153,76",8,"R$ 19,22","4,55%"
28/07/2026,Institucional - Marca,12.158,111,"0,91%","R$ 2,53","R$ 280,61",0,-,"0,00%"
28/07/2026,Remarketing - Carrinho Abandonado,13.875,781,"5,63%","R$ 3,11","R$ 2.427,51",83,"R$ 29,25","10,63%"
28/07/2026,Lançamento - Coleção Verão,7.636,182,"2,38%","R$ 2,05","R$ 373,82",6,"R$ 62,30","3,30%"
28/07/2026,Promoção - Frete Grátis,8.557,193,"2,26%","R$ 3,29","R$ 635,27",6,"R$ 105,88","3,11%"
29/07/2026,Black Friday - Roupas,10.299,210,"2,04%","R$ 1,81","R$ 379,35",9,"R$ 42,15","4,29%"
29/07/2026,Institucional - Marca,12.578,65,"0,52%","R$ 1,43","R$ 93,08",0,-,"0,00%"
29/07/2026,Remarketing - Carrinho Abandonado,11.527,635,"5,51%","R$ 2,73","R$ 1.733,84",73,"R$ 23,75","11,50%"
29/07/2026,Lançamento - Coleção Verão,7.806,203,"2,60%","R$ 1,76","R$ 356,51",9,"R$ 39,61","4,43%"
29/07/2026,Promoção - Frete Grátis,8.919,307,"3,44%","R$ 2,17","R$ 667,47",14,"R$ 47,68","4,56%"
30/07/2026,Black Friday - Roupas,10.343,259,"2,50%","R$ 3,34","R$ 864,20",17,"R$ 50,84","6,56%"
30/07/2026,Institucional - Marca,6.807,50,"0,73%","R$ 2,32","R$ 116,16",0,-,"0,00%"
30/07/2026,Remarketing - Carrinho Abandonado,8.417,307,"3,65%","R$ 3,35","R$ 1.029,53",44,"R$ 23,40","14,33%"
30/07/2026,Lançamento - Coleção Verão,8.020,194,"2,42%","R$ 2,13","R$ 413,33",6,"R$ 68,89","3,09%"
30/07/2026,Promoção - Frete Grátis,4.271,129,"3,02%","R$ 2,77","R$ 357,70",7,"R$ 51,10","5,43%"
31/07/2026,Black Friday - Roupas,3.515,77,"2,19%","R$ 2,39","R$ 184,26",3,"R$ 61,42","3,90%"
31/07/2026,Institucional - Marca,4.648,26,"0,56%","R$ 0,99","R$ 25,70",0,-,"0,00%"
31/07/2026,Remarketing - Carrinho Abandonado,8.148,471,"5,78%","R$ 1,69","R$ 794,04",50,"R$ 15,88","10,62%"
31/07/2026,Lançamento - Coleção Verão,604,12,"1,99%","R$ 3,38","R$ 40,53",0,-,"0,00%"
31/07/2026,Promoção - Frete Grátis,4.964,104,"2,10%","R$ 2,61","R$ 270,94",5,"R$ 54,19","4,81%"
01/08/2026,Black Friday - Roupas,14.005,479,"3,42%","R$ 1,93","R$ 924,81",29,"R$ 31,89","6,05%"
01/08/2026,Institucional - Marca,3.965,37,"0,93%","R$ 3,16","R$ 116,98",0,-,"0,00%"
01/08/2026,Remarketing - Carrinho Abandonado,14.767,722,"4,89%","R$ 1,05","R$ 757,71",75,"R$ 10,10","10,39%"
01/08/2026,Lançamento - Coleção Verão,5.999,103,"1,72%","R$ 3,26","R$ 336,28",4,"R$ 84,07","3,88%"
01/08/2026,Promoção - Frete Grátis,4.935,119,"2,41%","R$ 2,23","R$ 265,25",5,"R$ 53,05","4,20%"
02/08/2026,Black Friday - Roupas,8.586,216,"2,52%","R$ 2,00","R$ 431,25",10,"R$ 43,12","4,63%"
02/08/2026,Institucional - Marca,8.798,97,"1,10%","R$ 1,95","R$ 188,73",0,-,"0,00%"
02/08/2026,Remarketing - Carrinho Abandonado,2.611,135,"5,17%","R$ 1,92","R$ 259,71",17,"R$ 15,28","12,59%"
02/08/2026,Lançamento - Coleção Verão,9.373,215,"2,29%","R$ 1,86","R$ 399,56",4,"R$ 99,89","1,86%"
02/08/2026,Promoção - Frete Grátis,1.258,29,"2,31%","R$ 3,20","R$ 92,80",1,"R$ 92,80","3,45%"
03/08/2026,Black Friday - Roupas,13.335,365,"2,74%","R$ 0,99","R$ 361,39",16,"R$ 22,59","4,38%"
03/08/2026,Institucional - Marca,7.234,96,"1,33%","R$ 1,14","R$ 109,68",0,-,"0,00%"
03/08/2026,Remarketing - Carrinho Abandonado,6.805,299,"4,39%","R$ 2,67","R$ 798,30",28,"R$ 28,51","9,36%"
03/08/2026,Lançamento - Coleção Verão,3.952,114,"2,88%","R$ 2,83","R$ 322,47",2,"R$ 161,24","1,75%"
03/08/2026,Promoção - Frete Grátis,12.456,275,"2,21%","R$ 2,15","R$ 589,95",11,"R$ 53,63","4,00%"
04/08/2026,Black Friday - Roupas,4.365,132,"3,02%","R$ 1,15","R$ 151,84",6,"R$ 25,31","4,55%"
04/08/2026,Institucional - Marca,13.022,189,"1,45%","R$ 1,74","R$ 328,18",1,"R$ 328,18","0,53%"
04/08/2026,Remarketing - Carrinho Abandonado,4.374,202,"4,62%","R$ 1,30","R$ 261,68",25,"R$ 10,47","12,38%"
04/08/2026,Lançamento - Coleção Verão,531,9,"1,69%","R$ 1,07","R$ 9,67",0,-,"0,00%"
04/08/2026,Promoção - Frete Grátis,13.173,440,"3,34%","R$ 3,46","R$ 1.522,59",20,"R$ 76,13","4,55%"
05/08/2026,Black Friday - Roupas,3.023,98,"3,24%","R$ 2,20","R$ 215,27",4,"R$ 53,82","4,08%"
05/08/2026,Institucional - Marca,6.852,66,"0,96%","R$ 1,25","R$ 82,29",0,-,"0,00%"
05/08/2026,Remarketing - Carrinho Abandonado,1.073,34,"3,17%","R$ 3,46","R$ 117,60",2,"R$ 58,80","5,88%"
05/08/2026,Lançamento - Coleção Verão,5.486,142,"2,59%","R$ 3,33","R$ 473,50",2,"R$ 236,75","1,41%"
05/08/2026,Promoção - Frete Grátis,6.809,229,"3,36%","R$ 3,14","R$ 719,79",9,"R$ 79,98","3,93%"
06/08/2026,Black Friday - Roupas,2.389,70,"2,93%","R$ 1,04","R$ 73,09",4,"R$ 18,27","5,71%"
06/08/2026,Institucional - Marca,13.933,165,"1,18%","R$ 2,45","R$ 403,46",1,"R$ 403,46","0,61%"
06/08/2026,Remarketing - Carrinho Abandonado,4.549,156,"3,43%","R$ 0,91","R$ 141,51",20,"R$ 7,08","12,82%"
06/08/2026,Lançamento - Coleção Verão,6.561,131,"2,00%","R$ 2,92","R$ 382,03",5,"R$ 76,41","3,82%"
06/08/2026,Promoção - Frete Grátis,12.461,345,"2,77%","R$ 2,02","R$ 697,94",11,"R$ 63,45","3,19%"
07/08/2026,Black Friday - Roupas,5.738,203,"3,54%","R$ 2,22","R$ 450,16",12,"R$ 37,51","5,91%"
07/08/2026,Institucional - Marca,14.868,152,"1,02%","R$ 0,84","R$ 127,98",1,"R$ 127,98","0,66%"
07/08/2026,Remarketing - Carrinho Abandonado,9.568,442,"4,62%","R$ 2,81","R$ 1.242,17",66,"R$ 18,82","14,93%"
07/08/2026,Lançamento - Coleção Verão,11.266,325,"2,88%","R$ 1,15","R$ 372,54",13,"R$ 28,66","4,00%"
07/08/2026,Promoção - Frete Grátis,9.291,279,"3,00%","R$ 3,22","R$ 899,40",15,"R$ 59,96","5,38%"
08/08/2026,Black Friday - Roupas,687,26,"3,78%","R$ 2,26","R$ 58,82",1,"R$ 58,82","3,85%"
08/08/2026,Institucional - Marca,1.354,11,"0,81%","R$ 1,24","R$ 13,62",0,-,"0,00%"
08/08/2026,Remarketing - Carrinho Abandonado,7.970,276,"3,46%","R$ 2,85","R$ 786,43",38,"R$ 20,70","13,77%"
08/08/2026,Lançamento - Coleção Verão,5.588,119,"2,13%","R$ 2,94","R$ 349,48",5,"R$ 69,90","4,20%"
08/08/2026,Promoção - Frete Grátis,6.944,157,"2,26%","R$ 3,43","R$ 539,16",6,"R$ 89,86","3,82%"
09/08/2026,Black Friday - Roupas,7.061,231,"3,27%","R$ 0,87","R$ 199,96",13,"R$ 15,38","5,63%"
09/08/2026,Institucional - Marca,1.208,12,"0,99%","R$ 2,68","R$ 32,16",0,-,"0,00%"
09/08/2026,Remarketing - Carrinho Abandonado,3.991,171,"4,28%","R$ 2,52","R$ 431,20",15,"R$ 28,75","8,77%"
09/08/2026,Lançamento - Coleção Verão,9.476,163,"1,72%","R$ 3,04","R$ 495,20",5,"R$ 99,04","3,07%"
09/08/2026,Promoção - Frete Grátis,11.634,258,"2,22%","R$ 0,85","R$ 218,79",13,"R$ 16,83","5,04%"
10/08/2026,Black Friday - Roupas,9.566,274,"2,86%","R$ 3,21","R$ 879,60",17,"R$ 51,74","6,20%"
10/08/2026,Institucional - Marca,1.709,23,"1,35%","R$ 1,69","R$ 38,83",0,-,"0,00%"
10/08/2026,Remarketing - Carrinho Abandonado,5.875,189,"3,22%","R$ 2,51","R$ 473,85",24,"R$ 19,74","12,70%"
10/08/2026,Lançamento - Coleção Verão,1.069,25,"2,34%","R$ 1,84","R$ 46,07",1,"R$ 46,07","4,00%"
10/08/2026,Promoção - Frete Grátis,3.062,94,"3,07%","R$ 1,20","R$ 113,09",4,"R$ 28,27","4,26%"
11/08/2026,Black Friday - Roupas,5.101,178,"3,49%","R$ 1,77","R$ 314,73",10,"R$ 31,47","5,62%"
11/08/2026,Institucional - Marca,2.849,26,"0,91%","R$ 2,02","R$ 52,41",0,-,"0,00%"
11/08/2026,Remarketing - Carrinho Abandonado,6.436,313,"4,86%","R$ 2,28","R$ 714,12",34,"R$ 21,00","10,86%"
11/08/2026,Lançamento - Coleção Verão,8.226,171,"2,08%","R$ 2,13","R$ 363,70",7,"R$ 51,96","4,09%"
11/08/2026,Promoção - Frete Grátis,14.208,484,"3,41%","R$ 1,64","R$ 794,32",22,"R$ 36,11","4,55%"
12/08/2026,Black Friday - Roupas,5.676,151,"2,66%","R$ 1,54","R$ 232,30",8,"R$ 29,04","5,30%"
12/08/2026,Institucional - Marca,5.895,78,"1,32%","R$ 2,40","R$ 186,94",0,-,"0,00%"
12/08/2026,Remarketing - Carrinho Abandonado,2.144,86,"4,01%","R$ 1,81","R$ 155,90",11,"R$ 14,17","12,79%"
12/08/2026,Lançamento - Coleção Verão,13.350,228,"1,71%","R$ 2,58","R$ 589,06",6,"R$ 98,18","2,63%"
12/08/2026,Promoção - Frete Grátis,4.357,134,"3,08%","R$ 2,69","R$ 360,30",7,"R$ 51,47","5,22%"
13/08/2026,Black Friday - Roupas,5.827,194,"3,33%","R$ 3,00","R$ 581,99",9,"R$ 64,67","4,64%"
13/08/2026,Institucional - Marca,3.521,25,"0,71%","R$ 1,14","R$ 28,44",0,-,"0,00%"
13/08/2026,Remarketing - Carrinho Abandonado,3.688,184,"4,99%","R$ 2,77","R$ 509,06",23,"R$ 22,13","12,50%"
13/08/2026,Lançamento - Coleção Verão,2.354,66,"2,80%","R$ 1,59","R$ 105,14",1,"R$ 105,14","1,52%"
13/08/2026,Promoção - Frete Grátis,13.199,338,"2,56%","R$ 2,94","R$ 992,28",11,"R$ 90,21","3,25%"
14/08/2026,Black Friday - Roupas,2.596,70,"2,70%","R$ 2,37","R$ 166,15",3,"R$ 55,38","4,29%"
14/08/2026,Institucional - Marca,6.971,95,"1,36%","R$ 1,86","R$ 176,32",1,"R$ 176,32","1,05%"
14/08/2026,Remarketing - Carrinho Abandonado,4.222,199,"4,71%","R$ 1,86","R$ 370,43",27,"R$ 13,72","13,57%"
14/08/2026,Lançamento - Coleção Verão,9.008,243,"2,70%","R$ 2,65","R$ 642,78",10,"R$ 64,28","4,12%"
14/08/2026,Promoção - Frete Grátis,2.002,61,"3,05%","R$ 3,28","R$ 200,21",2,"R$ 100,11","3,28%"
15/08/2026,Black Friday - Roupas,7.507,177,"2,36%","R$ 1,08","R$ 190,89",8,"R$ 23,86","4,52%"
15/08/2026,Institucional - Marca,3.993,48,"1,20%","R$ 1,31","R$ 62,98",0,-,"0,00%"
15/08/2026,Remarketing - Carrinho Abandonado,6.050,295,"4,88%","R$ 2,81","R$ 829,53",39,"R$ 21,27","13,22%"
15/08/2026,Lançamento - Coleção Verão,3.656,72,"1,97%","R$ 3,06","R$ 220,63",2,"R$ 110,31","2,78%"
15/08/2026,Promoção - Frete Grátis,12.513,294,"2,35%","R$ 3,41","R$ 1.002,49",13,"R$ 77,11","4,42%"
16/08/2026,Black Friday - Roupas,999,27,"2,70%","R$ 0,99","R$ 26,77",1,"R$ 26,77","3,70%"
16/08/2026,Institucional - Marca,976,9,"0,92%","R$ 3,10","R$ 27,88",0,-,"0,00%"
16/08/2026,Remarketing - Carrinho Abandonado,5.750,224,"3,90%","R$ 0,94","R$ 209,49",31,"R$ 6,76","13,84%"
16/08/2026,Lançamento - Coleção Verão,11.446,198,"1,73%","R$ 1,84","R$ 364,49",4,"R$ 91,12","2,02%"
16/08/2026,Promoção - Frete Grátis,8.952,209,"2,33%","R$ 1,14","R$ 238,54",7,"R$ 34,08","3,35%"
17/08/2026,Black Friday - Roupas,9.316,231,"2,48%","R$ 2,33","R$ 537,73",9,"R$ 59,75","3,90%"
17/08/2026,Institucional - Marca,7.721,99,"1,28%","R$ 2,45","R$ 243,01",1,"R$ 243,01","1,01%"
17/08/2026,Remarketing - Carrinho Abandonado,9.635,537,"5,57%","R$ 3,50","R$ 1.877,70",42,"R$ 44,71","7,82%"
17/08/2026,Lançamento - Coleção Verão,10.876,176,"1,62%","R$ 3,15","R$ 554,33",6,"R$ 92,39","3,41%"
17/08/2026,Promoção - Frete Grátis,7.938,228,"2,87%","R$ 1,42","R$ 323,86",13,"R$ 24,91","5,70%"
18/08/2026,Black Friday - Roupas,11.984,255,"2,13%","R$ 1,02","R$ 260,74",14,"R$ 18,62","5,49%"
18/08/2026,Institucional - Marca,4.214,45,"1,07%","R$ 1,61","R$ 72,56",0,-,"0,00%"
18/08/2026,Remarketing - Carrinho Abandonado,654,26,"3,98%","R$ 2,83","R$ 73,66",3,"R$ 24,55","11,54%"
18/08/2026,Lançamento - Coleção Verão,8.368,210,"2,51%","R$ 3,00","R$ 629,02",6,"R$ 104,84","2,86%"
18/08/2026,Promoção - Frete Grátis,8.371,290,"3,46%","R$ 2,38","R$ 690,86",16,"R$ 43,18","5,52%"
19/08/2026,Black Friday - Roupas,556,12,"2,16%","R$ 2,99","R$ 35,85",0,-,"0,00%"
19/08/2026,Institucional - Marca,3.321,37,"1,11%","R$ 1,37","R$ 50,81",0,-,"0,00%"
19/08/2026,Remarketing - Carrinho Abandonado,1.554,59,"3,80%","R$ 2,23","R$ 131,53",8,"R$ 16,44","13,56%"
19/08/2026,Lançamento - Coleção Verão,7.447,219,"2,94%","R$ 1,90","R$ 416,23",8,"R$ 52,03","3,65%"
19/08/2026,Promoção - Frete Grátis,14.188,362,"2,55%","R$ 0,85","R$ 309,07",11,"R$ 28,10","3,04%"
20/08/2026,Black Friday - Roupas,12.146,274,"2,26%","R$ 1,71","R$ 468,01",12,"R$ 39,00","4,38%"
20/08/2026,Institucional - Marca,11.375,67,"0,59%","R$ 1,84","R$ 123,37",0,-,"0,00%"
20/08/2026,Remarketing - Carrinho Abandonado,1.031,57,"5,53%","R$ 1,97","R$ 112,42",4,"R$ 28,11","7,02%"
20/08/2026,Lançamento - Coleção Verão,6.950,195,"2,81%","R$ 3,11","R$ 607,11",5,"R$ 121,42","2,56%"
20/08/2026,Promoção - Frete Grátis,1.663,54,"3,25%","R$ 2,75","R$ 148,70",2,"R$ 74,35","3,70%"
21/08/2026,Black Friday - Roupas,10.205,286,"2,80%","R$ 2,09","R$ 597,96",13,"R$ 46,00","4,55%"
21/08/2026,Institucional - Marca,10.714,122,"1,14%","R$ 1,34","R$ 163,05",1,"R$ 163,05","0,82%"
21/08/2026,Remarketing - Carrinho Abandonado,13.905,580,"4,17%","R$ 1,00","R$ 581,45",47,"R$ 12,37","8,10%"
21/08/2026,Lançamento - Coleção Verão,9.708,250,"2,58%","R$ 1,10","R$ 274,51",7,"R$ 39,22","2,80%"
21/08/2026,Promoção - Frete Grátis,7.873,207,"2,63%","R$ 2,58","R$ 534,94",6,"R$ 89,16","2,90%"
22/08/2026,Black Friday - Roupas,9.272,196,"2,11%","R$ 3,41","R$ 667,76",9,"R$ 74,20","4,59%"
22/08/2026,Institucional - Marca,9.005,128,"1,42%","R$ 2,94","R$ 376,91",1,"R$ 376,91","0,78%"
22/08/2026,Remarketing - Carrinho Abandonado,8.348,255,"3,05%","R$ 3,09","R$ 788,41",28,"R$ 28,16","10,98%"
22/08/2026,Lançamento - Coleção Verão,634,11,"1,74%","R$ 1,21","R$ 13,35",0,-,"0,00%"
22/08/2026,Promoção - Frete Grátis,6.642,220,"3,31%","R$ 3,04","R$ 668,04",9,"R$ 74,23","4,09%"
23/08/2026,Black Friday - Roupas,10.270,274,"2,67%","R$ 3,45","R$ 944,46",18,"R$ 52,47","6,57%"
23/08/2026,Institucional - Marca,12.883,139,"1,08%","R$ 1,23","R$ 170,80",1,"R$ 170,80","0,72%"
23/08/2026,Remarketing - Carrinho Abandonado,7.325,304,"4,15%","R$ 1,34","R$ 406,03",42,"R$ 9,67","13,82%"
23/08/2026,Lançamento - Coleção Verão,4.993,118,"2,36%","R$ 2,32","R$ 273,87",5,"R$ 54,77","4,24%"
23/08/2026,Promoção - Frete Grátis,2.758,58,"2,10%","R$ 2,84","R$ 164,64",2,"R$ 82,32","3,45%"
24/08/2026,Black Friday - Roupas,7.163,203,"2,83%","R$ 2,12","R$ 429,75",13,"R$ 33,06","6,40%"
24/08/2026,Institucional - Marca,6.327,32,"0,51%","R$ 1,70","R$ 54,35",0,-,"0,00%"
24/08/2026,Remarketing - Carrinho Abandonado,7.304,270,"3,70%","R$ 2,37","R$ 638,81",30,"R$ 21,29","11,11%"
24/08/2026,Lançamento - Coleção Verão,3.699,94,"2,54%","R$ 2,06","R$ 194,05",3,"R$ 64,68","3,19%"
24/08/2026,Promoção - Frete Grátis,9.125,293,"3,21%","R$ 2,25","R$ 658,97",13,"R$ 50,69","4,44%"
25/08/2026,Black Friday - Roupas,11.361,414,"3,64%","R$ 2,97","R$ 1.227,93",25,"R$ 49,12","6,04%"
25/08/2026,Institucional - Marca,1.039,10,"0,96%","R$ 2,32","R$ 23,22",0,-,"0,00%"
25/08/2026,Remarketing - Carrinho Abandonado,13.424,793,"5,91%","R$ 1,25","R$ 992,71",98,"R$ 10,13","12,36%"
25/08/2026,Lançamento - Coleção Verão,9.188,235,"2,56%","R$ 1,83","R$ 430,20",5,"R$ 86,04","2,13%"
25/08/2026,Promoção - Frete Grátis,14.455,450,"3,11%","R$ 1,69","R$ 759,22",19,"R$ 39,96","4,22%"
26/08/2026,Black Friday - Roupas,11.631,243,"2,09%","R$ 2,22","R$ 540,36",12,"R$ 45,03","4,94%"
26/08/2026,Institucional - Marca,8.466,116,"1,37%","R$ 1,98","R$ 229,17",1,"R$ 229,17","0,86%"
26/08/2026,Remarketing - Carrinho Abandonado,11.226,625,"5,57%","R$ 3,48","R$ 2.172,49",79,"R$ 27,50","12,64%"
